Table 1. Reported Voting and Registration, by Sex and Single Years of Age:  November 1998

Source:  U.S. Census Bureau
Internet Release Date:  July 19, 2000

(In thousands)
----------------------------------------------------------------------------------------------------------------------
|Sex and age       |       |             |             |             |             |    U.S. citizen     |  Not a   |
|                  |       |             |             |             |             |---------------------| citizen  |
|                  |       |  Reported   |     Not     |  Reported   |             | Reported |   Not    |----------|
|                  |       | registered  | registered  |    voted    |Did not vote |registered|registered|          |
|                  |       |-------------+-------------+-------------+-------------+----------+----------+----------|
|                  | Total |Number | Pct |Number | Pct |Number | Pct |Number | Pct |  Number  |  Number  |  Number  |
|------------------+-------+-------+-----+-------+-----+-------+-----+-------+-----+----------+----------+----------|
|BOTH SEXES        |       |       |     |       |     |       |     |       |     |          |          |          |
|  Total 18 years  |       |       |     |       |     |       |     |       |     |          |          |          |
|  70 years        |    861|    649| 75.4|    212| 24.6|    568| 65.9|    293| 34.1|       649|       181|        31|
|  71 years        |    793|    624| 78.7|    169| 21.3|    524| 66.1|    269| 33.9|       624|       149|        19|
|  72 years        |    749|    594| 79.4|    155| 20.6|    514| 68.6|    235| 31.4|       594|       140|        14|
|  73 years        |    661|    550| 83.2|    111| 16.8|    463| 70.1|    198| 29.9|       550|        99|        12|
|  74 years        |    711|    582| 81.9|    129| 18.1|    486| 68.4|    225| 31.6|       582|       114|        15|
|  75 years        |    672|    532| 79.1|    141| 20.9|    460| 68.4|    213| 31.6|       532|       124|        17|
|  76 years        |    582|    498| 85.5|     84| 14.5|    415| 71.2|    168| 28.8|       498|        75|         9|
|  77 years        |    627|    530| 84.5|     97| 15.5|    453| 72.2|    175| 27.8|       530|        94|         3|
|  78 years        |    611|    446| 73.0|    165| 27.0|    340| 55.7|    271| 44.3|       446|       149|        17|
|  79 years        |    445|    355| 79.7|     90| 20.3|    291| 65.4|    154| 34.6|       355|        88|         2|
|  80 years        |    430|    319| 74.1|    111| 25.9|    255| 59.2|    176| 40.8|       319|       109|         2|
|  81 years        |    284|    240| 84.4|     44| 15.6|    192| 67.5|     92| 32.5|       240|        42|         2|
|  82 years        |    360|    269| 74.7|     91| 25.3|    213| 59.1|    147| 40.9|       269|        76|        16|
|  83 years        |    284|    229| 80.6|     55| 19.4|    182| 64.3|    101| 35.7|       229|        46|         9|
|  84 years        |    245|    182| 74.3|     63| 25.7|    139| 56.7|    106| 43.3|       182|        61|         2|
|  85 years and    |       |       |     |       |     |       |     |       |     |          |          |          |
|  over            |  1,034|    775| 75.0|    259| 25.0|    543| 52.5|    491| 47.5|       775|       232|        27|
|FEMALE            |       |       |     |       |     |       |     |       |     |          |          |          |
|  Total 18 years  |       |       |     |       |     |       |     |       |     |          |          |          |
|  and over        |103,042| 65,445| 63.5| 37,597| 36.5| 43,706| 42.4| 59,336| 57.6|    65,445|    30,293|     7,304|
|  18 to 24 years  | 12,729|  5,347| 42.0|  7,382| 58.0|  2,240| 17.6| 10,489| 82.4|     5,347|     6,241|     1,141|
|  25 to 34 years  | 19,522| 10,731| 55.0|  8,791| 45.0|  5,766| 29.5| 13,756| 70.5|    10,731|     6,536|     2,255|
|  35 to 44 years  | 22,530| 14,452| 64.1|  8,078| 35.9|  9,424| 41.8| 13,106| 58.2|    14,452|     6,326|     1,752|
|  45 to 54 years  | 17,848| 12,520| 70.1|  5,328| 29.9|  9,061| 50.8|  8,787| 49.2|    12,520|     4,297|     1,031|
|  55 to 64 years  | 11,794|  8,776| 74.4|  3,018| 25.6|  6,830| 57.9|  4,963| 42.1|     8,776|     2,523|       495|
|  65 to 74 years  |  9,833|  7,477| 76.0|  2,356| 24.0|  6,000| 61.0|  3,833| 39.0|     7,477|     2,019|       337|
|  75 years and    |       |       |     |       |     |       |     |       |     |          |          |          |
|  over            |  8,785|  6,142| 69.9|  2,643| 30.1|  4,384| 49.9|  4,400| 50.1|     6,142|     2,351|       293|
|  18 years        |  1,968|    497| 25.2|  1,471| 74.8|    231| 11.8|  1,736| 88.2|       497|     1,367|       105|
|  19 years        |  1,932|    744| 38.5|  1,188| 61.5|    322| 16.7|  1,609| 83.3|       744|     1,040|       148|
|  20 years        |  1,658|    710| 42.8|    948| 57.2|    265| 16.0|  1,393| 84.0|       710|       800|       148|
|  21 years        |  1,784|    773| 43.3|  1,011| 56.7|    328| 18.4|  1,456| 81.6|       773|       796|       214|
|  22 years        |  1,824|    842| 46.2|    982| 53.8|    328| 18.0|  1,496| 82.0|       842|       842|       140|
|  23 years        |  1,763|    841| 47.7|    922| 52.3|    378| 21.4|  1,385| 78.6|       841|       728|       194|
|  24 years        |  1,801|    940| 52.2|    861| 47.8|    387| 21.5|  1,413| 78.5|       940|       668|       192|
|  25 years        |  1,686|    877| 52.0|    809| 48.0|    425| 25.2|  1,261| 74.8|       877|       661|       148|
|  26 years        |  1,904|    965| 50.7|    939| 49.3|    439| 23.0|  1,465| 77.0|       965|       722|       217|
|  27 years        |  1,891|    941| 49.8|    950| 50.2|    454| 24.0|  1,436| 76.0|       941|       707|       243|
|  28 years        |  2,020|  1,066| 52.8|    954| 47.2|    532| 26.3|  1,488| 73.7|     1,066|       767|       186|
|  29 years        |  1,941|  1,103| 56.8|    839| 43.2|    580| 29.9|  1,361| 70.1|     1,103|       605|       234|
|  30 years        |  2,083|  1,182| 56.7|    901| 43.3|    648| 31.1|  1,434| 68.9|     1,182|       619|       282|
|  31 years        |  1,938|  1,077| 55.6|    861| 44.4|    603| 31.1|  1,335| 68.9|     1,077|       607|       254|
|  32 years        |  1,941|  1,135| 58.5|    806| 41.5|    653| 33.6|  1,288| 66.4|     1,135|       591|       215|
|  33 years        |  1,987|  1,101| 55.4|    886| 44.6|    650| 32.7|  1,337| 67.3|     1,101|       637|       250|
|  34 years        |  2,132|  1,286| 60.3|    846| 39.7|    781| 36.7|  1,351| 63.3|     1,286|       619|       226|
|  35 years        |  2,296|  1,421| 61.9|    875| 38.1|    899| 39.1|  1,397| 60.9|     1,421|       695|       180|
|  36 years        |  2,251|  1,390| 61.8|    860| 38.2|    808| 35.9|  1,443| 64.1|     1,390|       678|       182|
|  37 years        |  2,195|  1,400| 63.8|    796| 36.2|    862| 39.3|  1,333| 60.7|     1,400|       605|       191|
|  38 years        |  2,363|  1,508| 63.8|    855| 36.2|  1,010| 42.7|  1,353| 57.3|     1,508|       655|       200|
|  39 years        |  2,253|  1,466| 65.1|    787| 34.9|    958| 42.5|  1,295| 57.5|     1,466|       613|       174|
|  40 years        |  2,308|  1,438| 62.3|    870| 37.7|    930| 40.3|  1,377| 59.7|     1,438|       692|       177|
|  41 years        |  2,176|  1,423| 65.4|    753| 34.6|    925| 42.5|  1,251| 57.5|     1,423|       590|       163|
|  42 years        |  2,204|  1,466| 66.5|    737| 33.5|  1,043| 47.3|  1,161| 52.7|     1,466|       602|       135|
|  43 years        |  2,251|  1,441| 64.0|    809| 36.0|    987| 43.8|  1,264| 56.2|     1,441|       619|       190|
|  44 years        |  2,234|  1,498| 67.0|    736| 33.0|  1,004| 44.9|  1,230| 55.1|     1,498|       576|       160|
|  45 years        |  2,017|  1,397| 69.3|    620| 30.7|    974| 48.3|  1,043| 51.7|     1,397|       489|       131|
|  46 years        |  1,997|  1,351| 67.6|    646| 32.4|    938| 47.0|  1,059| 53.0|     1,351|       492|       154|
|  47 years        |  1,861|  1,337| 71.8|    524| 28.2|    937| 50.4|    924| 49.6|     1,337|       441|        84|
|  48 years        |  1,983|  1,428| 72.0|    556| 28.0|  1,094| 55.1|    890| 44.9|     1,428|       469|        87|
|  49 years        |  1,851|  1,306| 70.5|    545| 29.5|    985| 53.2|    867| 46.8|     1,306|       438|       107|
|  50 years        |  1,855|  1,244| 67.1|    611| 32.9|    872| 47.0|    983| 53.0|     1,244|       479|       132|
|  51 years        |  1,849|  1,327| 71.8|    522| 28.2|    971| 52.5|    878| 47.5|     1,327|       431|        91|
|  52 years        |  1,720|  1,217| 70.8|    503| 29.2|    906| 52.7|    814| 47.3|     1,217|       407|        96|
|  53 years        |  1,435|  1,025| 71.4|    411| 28.6|    749| 52.2|    687| 47.8|     1,025|       333|        77|
|  54 years        |  1,279|    890| 69.5|    390| 30.5|    636| 49.7|    643| 50.3|       890|       318|        72|
|  55 years        |  1,438|  1,062| 73.9|    375| 26.1|    763| 53.1|    674| 46.9|     1,062|       316|        59|
